Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"AMEDRAS                  ";6;H;"PUR SANG";9;1;4;47350,00;19176,00;66526,00;5261,11;450
"CAWDOR                   ";3;M;"PUR SANG";6;1;4;47350,00;0,00;47350,00;7891,67;455
"DROIT DE PAROLE          ";7;M;"PUR SANG";14;3;10;47300,00;19153,00;66453,00;3378,57;375
"FORZA CAPITANO           ";8;H;"PUR SANG";7;0;6;47300,00;19156,00;66456,00;6757,14;460
"SHINNING OCEAN           ";6;M;"PUR SANG";8;2;4;47240,00;19131,00;66371,00;5905,00;440
"BELBEK                   ";3;M;"PUR SANG";5;0;4;47203,00;28773,00;75976,00;9440,60;515
"DABAWA                   ";3;F;"PUR SANG";5;0;4;47200,00;33984,00;81184,00;9440,00;460
"SAINT HELLIER            ";4;H;"PUR SANG";9;2;1;47020,00;23274,00;70294,00;5224,44;440
"JOLI PRINCE              ";4;H;"PUR SANG";5;2;3;47010,00;23268,00;70278,00;9402,00;370
"EXXTRA                   ";3;F;"PUR SANG";4;2;1;47000,00;33840,00;80840,00;11750,00;460
"POWER PAPERS             ";4;M;"PUR SANG";8;2;5;46970,00;23247,00;70217,00;5871,25;340
"AVRILOMANOIR             ";5;H;"PUR SANG";12;3;3;46830,00;23180,00;70010,00;3902,50;335
"DIAMOND VENDOME          ";8;H;"PUR SANG";7;2;3;46790,00;18949,00;65739,00;6684,29;470
"DEMAIN                   ";3;M;"PUR SANG";4;2;2;46750,00;0,00;46750,00;11687,50;450
"KIMI ORENDA              ";3;F;"PUR SANG";4;2;2;46750,00;33660,00;80410,00;11687,50;450
"COEUR DE PIERRE          ";7;H;"PUR SANG";4;1;2;46600,00;18873,00;65473,00;11650,00;500
"SALTWELL                 ";3;F;"PUR SANG";5;2;3;46550,00;0,00;46550,00;9310,00;440
"EMPLOY                   ";2;F;"PUR SANG";6;1;4;46500,00;0,00;46500,00;7750,00;440
"OCEAN VISION             ";3;M;"PUR SANG";3;2;1;46333,00;0,00;46333,00;15444,33;465
"DUC DE KENT              ";3;H;"PUR SANG";6;2;3;46250,00;33300,00;79550,00;7708,33;440
"SIM CARD                 ";5;H;"PUR SANG";13;2;10;46170,00;22851,00;69021,00;3551,54;340
"SKADE                    ";5;F;"PUR SANG";11;3;6;46090,00;22812,00;68902,00;4190,00;280
"MLLE MOLIERE             ";2;F;"PUR SANG";3;2;1;46000,00;33120,00;79120,00;15333,33;435
"BALSAM                   ";2;F;"PUR SANG";4;1;3;45950,00;33084,00;79034,00;11487,50;425
"NORTH HUNTER             ";8;H;"PUR SANG";9;2;6;45890,00;18583,00;64473,00;5098,89;360
"MONTJICA                 ";3;F;"PUR SANG";7;2;5;45850,00;33012,00;78862,00;6550,00;405
"SOCIETY MAN              ";3;M;"PUR SANG";8;2;3;45850,00;33012,00;78862,00;5731,25;430
"BOUTTEMONT               ";5;M;"PUR SANG";5;1;3;45850,00;22695,00;68545,00;9170,00;495
"OLYMPIC DREAM            ";4;F;"PUR SANG";11;2;6;45680,00;22611,00;68291,00;4152,73;365
"IKEN                     ";4;F;"PUR SANG";7;1;5;45680,00;22609,00;68289,00;6525,71;355
"DROLE DE DAME            ";3;F;"PUR SANG";6;1;3;45600,00;32832,00;78432,00;7600,00;415
"SALOCIN                  ";6;H;"PUR SANG";7;4;3;45560,00;18451,00;64011,00;6508,57;400
"EL MANIFICO              ";8;H;"PUR SANG";9;1;5;45450,00;18404,00;63854,00;5050,00;345
"GREENWOOD                ";3;H;"PUR SANG";5;2;2;45400,00;32688,00;78088,00;9080,00;400
"MURCIANO                 ";3;H;"PUR SANG";10;0;9;45400,00;32688,00;78088,00;4540,00;365
"RUSSIAN TWIST            ";5;H;"PUR SANG";9;5;2;45300,00;20566,00;65866,00;5033,33;350
"MODERN VALUE             ";4;F;"PUR SANG";8;1;7;45280,00;22411,00;67691,00;5660,00;340
"WOOT CITY                ";6;H;"PUR SANG";8;1;4;45160,00;18288,00;63448,00;5645,00;390
"SISTER OF LOVE           ";3;F;"PUR SANG";11;2;8;45140,00;0,00;45140,00;4103,64;370
"EQUUS VINCIT             ";5;H;"PUR SANG";4;2;2;45120,00;22333,00;67453,00;11280,00;405
"MAMAMOUCHI               ";3;F;"PUR SANG";14;2;11;45050,00;32436,00;77486,00;3217,86;355
"LE CENTRAL               ";3;H;"PUR SANG";10;2;7;45040,00;32428,00;77468,00;4504,00;375
"RAINBOW SKY              ";3;F;"PUR SANG";3;2;1;45000,00;0,00;45000,00;15000,00;445
"TRACK OF TIME            ";3;H;"PUR SANG";5;2;2;44900,00;32328,00;77228,00;8980,00;475
"WHITE PLATIN             ";5;H;"PUR SANG";9;2;2;44880,00;22214,00;67094,00;4986,67;400
"RUNNYMEDE                ";7;H;"PUR SANG";4;2;2;44800,00;0,00;44800,00;11200,00;460
"TILL WE DIE              ";4;F;"PUR SANG";15;3;5;44750,00;22150,00;66900,00;2983,33;375
"CRACKSMANIA              ";3;F;"PUR SANG";4;2;1;44750,00;32220,00;76970,00;11187,50;450
"MUCHAS GRACIAS           ";2;M;"PUR SANG";13;4;5;44725,00;0,00;44725,00;3440,38;350
"DAIQUIBERRY              ";2;F;"PUR SANG";8;2;4;44700,00;32184,00;76884,00;5587,50;410
"AUDE                     ";4;F;"PUR SANG";9;1;5;44700,00;22126,00;66826,00;4966,67;450
"HARTWOOD MAN             ";4;H;"PUR SANG";11;3;6;44680,00;22113,00;66793,00;4061,82;340
"ENDS OF THE EARTH        ";3;M;"PUR SANG";8;1;5;44650,00;0,00;44650,00;5581,25;415
"TREMBLANT                ";3;M;"PUR SANG";7;1;5;44650,00;0,00;44650,00;6378,57;395
"ZEEYARA                  ";3;F;"PUR SANG";4;2;1;44500,00;0,00;44500,00;11125,00;430
"PRINCE ANODIN            ";6;H;"PUR SANG";7;2;5;44500,00;18021,00;62521,00;6357,14;435
"ATLANTIC WAYS            ";2;F;"PUR SANG";2;0;2;44500,00;3240,00;47740,00;22250,00;
"VALIMI                   ";3;M;"PUR SANG";5;1;3;44440,00;24467,00;68907,00;8888,00;500
"BAIYKARA                 ";4;F;"PUR SANG";6;0;4;44350,00;21953,00;66303,00;7391,67;495
"HALFWAY LINE             ";3;H;"PUR SANG";4;2;2;44250,00;0,00;44250,00;11062,50;460
"HOT SUMMER               ";7;H;"PUR SANG";15;2;8;44150,00;17879,00;62029,00;2943,33;265
"KALEOCREEK               ";2;M;"PUR SANG";10;2;6;44050,00;31716,00;75766,00;4405,00;390
"HARBOUR WIND             ";3;H;"PUR SANG";1;0;1;44000,00;0,00;44000,00;44000,00;450
"CHOP VAL                 ";6;M;"PUR SANG";12;3;6;43900,00;17777,00;61677,00;3658,33;360
"BOLD ACT                 ";3;H;"PUR SANG";3;1;2;43900,00;0,00;43900,00;14633,33;485
"MON BEL CANTO            ";5;H;"PUR SANG";7;2;5;43800,00;21680,00;65480,00;6257,14;430
"MUELHEIMER PERLE         ";5;F;"PUR SANG";15;3;8;43650,00;0,00;43650,00;2910,00;365
"PREMIER ORDRE            ";3;H;"PUR SANG";9;2;3;43600,00;31392,00;74992,00;4844,44;380
"MAT LA FRISTOUILLE       ";6;H;"PUR SANG";8;3;5;43570,00;17644,00;61214,00;5446,25;360
"PERCUSSION               ";3;F;"PUR SANG";8;2;3;43550,00;31356,00;74906,00;5443,75;440
"WE RIDE THE WORLD        ";8;H;"PUR SANG";10;1;6;43540,00;17632,00;61172,00;4354,00;430
"BEAUTIFUL MEMORY         ";3;F;"PUR SANG";5;2;3;43500,00;31320,00;74820,00;8700,00;380
"KING HARTWOOD            ";7;H;"PUR SANG";15;2;6;43490,00;17611,00;61101,00;2899,33;300
"SAINT LAWRENCE           ";5;H;"PUR SANG";1;0;1;43434,00;0,00;43434,00;43434,00;480
"GET SET                  ";6;H;"PUR SANG";9;2;5;43420,00;17583,00;61003,00;4824,44;380
"NE ME QUITTE PAS         ";2;M;"PUR SANG";6;3;2;43200,00;0,00;43200,00;7200,00;410
"AUTUMN PRIDE             ";7;M;"PUR SANG";8;2;3;43190,00;0,00;43190,00;5398,75;370
"CICCIO BOY               ";5;M;"PUR SANG";13;0;7;43030,00;21295,00;64325,00;3310,00;390
"ALCEDIMZOE               ";3;F;"PUR SANG";6;3;1;43000,00;30960,00;73960,00;7166,67;405
"COLOMBIER                ";3;M;"PUR SANG";5;2;1;43000,00;0,00;43000,00;8600,00;460
"EPICTETUS                ";3;M;"PUR SANG";1;0;1;42900,00;0,00;42900,00;42900,00;495
"WIND OF CHANGE           ";5;H;"PUR SANG";10;3;4;42800,00;21184,00;63984,00;4280,00;355
"LALOU                    ";3;F;"PUR SANG";8;2;5;42770,00;0,00;42770,00;5346,25;340
"AQUITAINE                ";6;F;"PUR SANG";15;3;8;42750,00;17312,00;60062,00;2850,00;245
"GRECIAN BONANZA          ";3;M;"PUR SANG";8;1;6;42700,00;30744,00;73444,00;5337,50;360
"RAVIOLI                  ";3;F;"PUR SANG";4;2;2;42650,00;0,00;42650,00;10662,50;400
"PUREST TIME              ";3;M;"PUR SANG";8;1;6;42600,00;0,00;42600,00;5325,00;420
"ALASHAR                  ";3;M;"PUR SANG";6;1;4;42600,00;0,00;42600,00;7100,00;445
"GRADE MAKER              ";2;F;"PUR SANG";7;2;4;42500,00;30600,00;73100,00;6071,43;405
"POUR DOMPTER             ";2;M;"PUR SANG";5;1;4;42500,00;30600,00;73100,00;8500,00;445
"FOLLOW ME                ";2;M;"PUR SANG";5;0;5;42500,00;19080,00;61580,00;8500,00;420
"INSTRUIT                 ";6;H;"PUR SANG";9;3;4;42300,00;17129,00;59429,00;4700,00;435
"BONAPARTE SIZING         ";9;H;"PUR SANG";8;2;4;42300,00;17130,00;59430,00;5287,50;370
"KOVROV                   ";3;M;"PUR SANG";5;2;2;42250,00;30420,00;72670,00;8450,00;450
"INTEGRANT                ";5;M;"PUR SANG";6;1;5;42250,00;20912,00;63162,00;7041,67;445
"BO LYWOOD                ";3;M;"PUR SANG";13;3;3;42150,00;30348,00;72498,00;3242,31;355
"LIGHTS COME ON           ";6;F;"PUR SANG";8;3;3;42040,00;17024,00;59064,00;5255,00;325
"BAUHINIA                 ";2;F;"PUR SANG";2;2;0;42000,00;0,00;42000,00;21000,00;
"MACHETE                  ";4;M;"PUR SANG";9;1;6;42000,00;20789,00;62789,00;4666,67;420
"GRACEFUL THUNDER         ";2;F;"PUR SANG";2;1;1;42000,00;0,00;42000,00;21000,00;445
"GERMINAL                 ";3;H;"PUR SANG";12;2;9;41940,00;30196,00;72136,00;3495,00;355
"DEVIL IN THE SKY         ";3;H;"PUR SANG";6;2;2;41900,00;30168,00;72068,00;6983,33;455
"RAYSTEVE                 ";6;H;"PUR SANG";8;1;5;41900,00;16966,00;58866,00;5237,50;390
"LA FILLE DU SUD          ";4;F;"PUR SANG";8;1;3;41820,00;20699,00;62519,00;5227,50;415
"WILLIAM TELL             ";3;H;"PUR SANG";6;1;4;41800,00;30096,00;71896,00;6966,67;430
"DSCHINGIS STAR           ";3;F;"PUR SANG";7;1;4;41800,00;30096,00;71896,00;5971,43;460
"MARY GOLD                ";2;F;"PUR SANG";7;2;5;41750,00;30060,00;71810,00;5964,29;390
"GIRAFFE                  ";3;F;"PUR SANG";13;3;8;41600,00;25992,00;67592,00;3200,00;365
"EGOT                     ";5;M;"PUR SANG";5;1;2;41600,00;0,00;41600,00;8320,00;460
"ANTHORUS                 ";4;M;"PUR SANG";8;0;6;41600,00;20592,00;62192,00;5200,00;455
"MANAROLA                 ";6;F;"PUR SANG";12;3;5;41590,00;16841,00;58431,00;3465,83;350
"YOOZUNA                  ";4;M;"PUR SANG";8;0;6;41400,00;20493,00;61893,00;5175,00;450
"LIGHTED GLORY            ";4;F;"PUR SANG";9;1;3;41320,00;20452,00;61772,00;4591,11;385
"BYFORD                   ";6;H;"PUR SANG";5;2;2;41300,00;16726,00;58026,00;8260,00;405
"IZASTEP                  ";3;M;"PUR SANG";7;2;4;41300,00;29736,00;71036,00;5900,00;430
"MARELIE                  ";3;F;"PUR SANG";8;1;6;41300,00;29736,00;71036,00;5162,50;380
"JOYCE GALESTE            ";4;F;"PUR SANG";20;3;5;41280,00;20432,00;61712,00;2064,00;260
"EL INGRATO               ";7;H;"PUR SANG";16;3;8;41280,00;16717,00;57997,00;2580,00;300
"BUBBLE SIGN              ";3;F;"PUR SANG";6;1;5;41250,00;29700,00;70950,00;6875,00;385
"MOLINO                   ";6;M;"PUR SANG";11;3;5;41080,00;16635,00;57715,00;3734,55;280
"DJENNE                   ";3;F;"PUR SANG";9;3;2;41075,00;29232,00;70307,00;4563,89;365
"SURPRIZE ME              ";3;F;"PUR SANG";10;4;4;41000,00;29520,00;70520,00;4100,00;350
"KNOCK ON                 ";3;F;"PUR SANG";6;2;3;41000,00;29520,00;70520,00;6833,33;435
"COME SAY HI              ";7;H;"PUR SANG";15;3;6;40950,00;0,00;40950,00;2730,00;340
"GIFT OF THE G            ";5;H;"PUR SANG";9;1;4;40940,00;20264,00;61204,00;4548,89;385
"DOCTOR RON               ";4;H;"PUR SANG";3;1;2;40920,00;20254,00;61174,00;13640,00;400
"BESHTANI                 ";3;H;"PUR SANG";4;2;2;40900,00;29448,00;70348,00;10225,00;460
"AMI SOLEDAD              ";4;H;"PUR SANG";10;3;4;40800,00;20194,00;60994,00;4080,00;370
"BROUILLARD               ";6;H;"PUR SANG";3;1;2;40800,00;16523,00;57323,00;13600,00;430
"ELBAZ                    ";2;M;"PUR SANG";3;1;2;40800,00;29376,00;70176,00;13600,00;445
"MR CASSIOPE              ";3;M;"PUR SANG";7;2;4;40640,00;29260,00;69900,00;5805,71;375
"DSCHINGIS KING           ";3;M;"PUR SANG";5;3;2;40600,00;29232,00;69832,00;8120,00;435
"VANILLE BLEUE            ";4;F;"PUR SANG";19;2;10;40600,00;20096,00;60696,00;2136,84;285
"INTERSTELLA              ";5;F;"PUR SANG";9;4;1;40500,00;0,00;40500,00;4500,00;370
"LA BELLE POETE           ";2;F;"PUR SANG";6;2;4;40500,00;24480,00;64980,00;6750,00;415
"EUREKA                   ";3;F;"PUR SANG";12;2;6;40450,00;29124,00;69574,00;3370,83;355
"EXACT                    ";2;M;"PUR SANG";6;2;4;40400,00;29088,00;69488,00;6733,33;400
"WRONG COLOUR             ";3;F;"PUR SANG";11;2;4;40400,00;29088,00;69488,00;3672,73;365
"INTELLECT                ";2;H;"PUR SANG";7;1;6;40350,00;29052,00;69402,00;5764,29;400
"BATWAN                   ";8;H;"PUR SANG";5;0;4;40350,00;16341,00;56691,00;8070,00;465
"OXALIS                   ";6;H;"PUR SANG";18;4;6;40300,00;16319,00;56619,00;2238,89;365
"CASSIUS                  ";3;M;"PUR SANG";6;2;2;40300,00;29016,00;69316,00;6716,67;460
"PERLE D'IVOIRE           ";6;F;"PUR SANG";8;3;4;40140,00;0,00;40140,00;5017,50;260
